Id,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,Latitude,Longitude,restaurants,stores,transport,school,nightlife,golf,park,grocery,service,recreational,cultural,leisure
1,RL,65.0,8450,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,College Creek,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,196.0,Gd,TA,PConc,Gd,TA,No,GLQ,706,Unf,0,150,856,GasA,Ex,Y,SBrkr,0,1710,1,0,2,1,3,1,Gd,8,Typ,0,None,Attchd,RFn,2,548,TA,TA,Y,0,61,0,0,0,0,0,None,None,0,2,2008,WD,Normal,208500,42.0237078,-93.6475771,1,1,0,1,1,0,0,1,1,1,1,0
3,RL,68.0,11250,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,College Creek,Norm,Norm,1Fam,2Story,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,162.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,486,Unf,0,434,920,GasA,Ex,Y,SBrkr,0,1786,1,0,2,1,3,1,Gd,6,Typ,1,TA,Attchd,RFn,2,608,TA,TA,Y,0,42,0,0,0,0,0,None,None,0,9,2008,WD,Normal,223500,42.0237078,-93.6475771,1,1,0,1,1,0,0,1,1,1,1,0
14,RL,91.0,10652,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,College Creek,Norm,Norm,1Fam,1Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,306.0,Gd,TA,PConc,Gd,TA,Av,Unf,0,Unf,0,1494,1494,GasA,Ex,Y,SBrkr,0,1494,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,RFn,3,840,TA,TA,Y,160,33,0,0,0,0,0,None,None,0,8,2007,New,Partial,279500,42.0237078,-93.6475771,1,1,0,1,1,0,0,1,1,1,1,0
23,RL,75.0,9742,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,College Creek,Norm,Norm,1Fam,1Story,8,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,281.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1777,1777,GasA,Ex,Y,SBrkr,0,1795,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,RFn,2,534,TA,TA,Y,171,159,0,0,0,0,0,None,None,0,9,2008,WD,Normal,230000,42.0237078,-93.6475771,1,1,0,1,1,0,0,1,1,1,1,0
33,RL,85.0,11049,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,College Creek,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1234,1234,GasA,Ex,Y,SBrkr,0,1234,0,0,2,0,3,1,Gd,7,Typ,0,None,Attchd,RFn,2,484,TA,TA,Y,0,30,0,0,0,0,0,None,None,0,1,2008,WD,Normal,179900,42.0237078,-93.6475771,1,1,0,1,1,0,0,1,1,1,1,0
37,RL,112.0,10859,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,College Creek,Norm,Norm,1Fam,1Story,5,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1097,1097,GasA,Ex,Y,SBrkr,0,1097,0,0,1,1,3,1,TA,6,Typ,0,None,Attchd,Unf,2,672,TA,TA,Y,392,64,0,0,0,0,0,None,None,0,6,2009,WD,Normal,145000,42.0237078,-93.6475771,1,1,0,1,1,0,0,1,1,1,1,0
44,RL,70.04995836802665,9200,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,College Creek,Norm,Norm,1Fam,1Story,5,6,1975,1980,Hip,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,Gd,TA,Av,LwQ,280,BLQ,491,167,938,GasA,TA,Y,SBrkr,0,938,1,0,1,0,3,1,TA,5,Typ,0,None,Detchd,Unf,1,308,TA,TA,Y,145,0,0,0,0,0,0,MnPrv,None,0,7,2008,WD,Normal,130250,42.0237078,-93.6475771,1,1,0,1,1,0,0,1,1,1,1,0
58,RL,89.0,11645,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,College Creek,Norm,Norm,1Fam,2Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,860,860,GasA,Ex,Y,SBrkr,0,1720,0,0,2,1,3,1,Gd,7,Typ,0,None,Attchd,RFn,2,565,TA,TA,Y,0,70,0,0,0,0,0,None,None,0,8,2006,WD,Normal,196500,42.0237078,-93.6475771,1,1,0,1,1,0,0,1,1,1,1,0
60,RL,60.0,7200,Pave,None,Reg,Bnk,AllPub,Inside,Gtl,College Creek,Norm,Norm,1Fam,1Story,5,7,1972,1972,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,Av,ALQ,632,Unf,0,148,780,GasA,Ex,Y,SBrkr,0,780,0,0,1,0,2,1,TA,4,Typ,0,None,Detchd,Unf,1,352,TA,TA,Y,196,0,0,0,0,0,0,MnPrv,None,0,1,2008,WD,Normal,124900,42.0237078,-93.6475771,1,1,0,1,1,0,0,1,1,1,1,0
65,RL,70.04995836802665,9375,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,College Creek,Norm,Norm,1Fam,2Story,7,5,1997,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,573.0,TA,TA,PConc,Gd,TA,No,GLQ,739,Unf,0,318,1057,GasA,Ex,Y,SBrkr,0,2034,1,0,2,1,3,1,Gd,8,Typ,0,None,Attchd,RFn,2,645,TA,TA,Y,576,36,0,0,0,0,0,GdPrv,None,0,2,2009,WD,Normal,219500,42.0237078,-93.6475771,1,1,0,1,1,0,0,1,1,1,1,0
68,RL,72.0,10665,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,College Creek,Norm,Norm,1Fam,1Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,167.0,Gd,TA,PConc,Gd,TA,Av,GLQ,1013,Unf,0,440,1453,GasA,Ex,Y,SBrkr,0,1479,1,0,2,0,3,1,Gd,7,Typ,0,None,Attchd,RFn,2,558,TA,TA,Y,144,29,0,0,0,0,0,None,None,0,6,2007,WD,Normal,226000,42.0237078,-93.6475771,1,1,0,1,1,0,0,1,1,1,1,0
90,RL,60.0,8070,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,College Creek,Norm,Norm,1Fam,1Story,4,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,GLQ,588,Unf,0,402,990,GasA,Ex,Y,SBrkr,0,990,1,0,1,0,3,1,TA,5,Typ,0,None,None,None,0,0,None,None,Y,0,0,0,0,0,0,0,None,None,0,8,2007,WD,Normal,123600,42.0237078,-93.6475771,1,1,0,1,1,0,0,1,1,1,1,0
